rank,pool,votes,expected_usd,boundary_usd,expected_share_pct,actual_usd,pct_drop
1,0x763adcf71cb195184088a26be01662119e303f5f,393000,109.461283,500.044374,21.89,0.000000,0.00
2,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,225908,50.420574,2013.046371,2.50,0.000000,0.00
3,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,172000,41.932359,388.969248,10.78,0.000000,0.00
4,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,141000,36.397146,231.394894,15.73,0.000000,0.00
5,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,102000,26.689766,158.906703,16.80,0.000000,0.00
6,0x29262772a1a99f180ac2e70093954cf4adf3cd85,77000,24.743148,76.970281,32.15,0.000000,0.00
7,0xf19787f048b3401546aa7a979afa79d555c114dd,69000,18.124769,105.406742,17.20,0.000000,0.00
8,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,56000,14.596447,87.145287,16.75,0.000000,0.00
9,0x680581725840958141bb328666d8fc185ac4fa49,48000,11.063282,199.435566,5.55,0.000000,0.00
10,0x52fde427c2483ba0749140c0b43cfce73ba50d20,47000,10.987172,160.991131,6.82,0.000000,0.00
11,0xca260c4633a3834caa9d70e5ea2d78d9290890c6,46000,14.154822,47.947371,29.52,0.000000,0.00
12,0x8323ba10155388825fba72f4c81dd6642d7321ef,34000,9.671019,40.599697,23.82,0.000000,0.00
13,0x2d9b441c4333b0383a27ad751f9190ab18b0b349,29000,13.701389,25.613959,53.49,0.000000,0.00
14,0x15951b35d7a8ea6b6ef5718eab2fcdd3ad072451,29000,9.786157,28.086130,34.84,0.000000,0.00
15,0x84994103403c715bace3bfb42f074f50e5432d55,28000,6.701634,72.286059,9.27,0.000000,0.00
16,0xc3f617c8a3da6d286c8f97af946a8f293632c852,25000,7.033462,30.094504,23.37,0.000000,0.00
17,0xd4610403f0a93611ca76a5847743533268eff793,25000,6.382180,42.112872,15.15,0.000000,0.00
18,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,23000,5.677193,47.072819,12.06,0.000000,0.00
19,0xa528c2462fa74eb1a2335424d69d721e4aed1367,21000,5.972338,25.317886,23.59,0.000000,0.00
20,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,20000,8.260397,17.097335,48.31,0.000000,0.00
21,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,20000,5.644820,23.934101,23.58,0.000000,0.00
22,0x5984bc5ca90388aac221147ca9da419a2a458a9f,19000,5.011950,29.624922,16.92,0.000000,0.00
23,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,16000,3.749290,54.877157,6.83,0.000000,0.00
24,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,15000,4.202458,18.676425,22.50,0.000000,0.00
25,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,15000,3.595414,37.881712,9.49,0.000000,0.00
26,0xbce15e3e9799c9296c631b8fca65386d9554f49a,13000,3.685376,16.279599,22.64,0.000000,0.00
27,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,13000,3.625851,17.082553,21.23,0.000000,0.00
28,0xb55fab1b4f8a2f52cca0c21ca3c4c20060454086,6000,1.761648,6.848371,25.72,0.000000,0.00
29,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,6000,1.731559,7.053748,24.55,0.000000,0.00
30,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,6000,1.706910,7.876541,21.67,0.000000,0.00
31,0xacdb45dcf58a8da1706468b5828dec484f37c5e3,6000,1.692382,7.205754,23.49,0.000000,0.00
32,0x46f4149cea5556bd013d4f031d3e3b65573fc002,4000,1.295364,3.484117,37.18,0.000000,0.00
33,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,4000,1.108587,4.571169,24.25,0.000000,0.00
34,0xd6989c6fec14a38a8e2cd3e4cf6ce3a5ebcf35b6,3000,0.958594,2.999017,31.96,0.000000,0.00
35,0x1c419ac8fbaf8082eb7276fc2f243a74daf1c927,3000,0.657316,123.314145,0.53,0.000000,0.00
36,0xf3dfab70cbb7f1ca33685463f7f4e79bc6842933,1000,0.226093,4.011547,5.64,0.000000,0.00
37,0x8772c46a7d10d7189d21eb635a9d271c83f66263,1000,0.194751,10.731729,1.81,0.000000,0.00
38,0x034196aee7968d4c85b00b40c4e88ef706577cfa,1000,0.175135,4.579622,3.82,0.000000,0.00
39,0x8c8063a449eb9f020449fec4d9f0bca845188929,1000,0.162258,6.137792,2.64,0.000000,0.00
40,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.160694,62.789123,0.26,0.000000,0.00
41,0x02ab4a243c229550f6babcfdb106f19b35124df6,1000,0.155511,11.283547,1.38,0.000000,0.00
42,0x434355f7eafcf3a5b8a6ef755505b845682f906b,1000,0.152147,11.540134,1.32,0.000000,0.00
43,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,1000,0.147687,39.828723,0.37,0.000000,0.00
44,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.139396,940.756311,0.01,0.000000,0.00
45,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.136330,1214.932801,0.01,0.000000,0.00
46,0xcd280042f629fa2384179911f9cb1f932b9f26c8,1000,0.131069,18.622027,0.70,0.000000,0.00
47,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.122279,2432.973140,0.01,0.000000,0.00
48,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.111168,47.854517,0.23,0.000000,0.00
49,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.103384,1321.630693,0.01,0.000000,0.00
50,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,1000,0.094003,279.205544,0.03,0.000000,0.00
