rank,pool,votes,expected_usd
1,0xe539b14a87d3db4a2945ac99b29a69de61531592,1208000,293.770563
2,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,80000,18.951526
3,0xee58348059c9ad6ac345be79c399da0c200627ed,50000,10.480878
4,0xcd280042f629fa2384179911f9cb1f932b9f26c8,49000,12.844186
5,0x8772c46a7d10d7189d21eb635a9d271c83f66263,45000,12.049072
6,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,40000,8.255481
7,0xe62a34ae5e0b9fde3501aeb72dc9585bb3b72a7e,36000,7.807598
8,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,32000,7.978162
9,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,30000,6.037042
10,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,29000,7.530161
11,0x721bcd563603a559616dc9fb886a1732186995a4,20000,5.213801
12,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,20000,5.150445
13,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,20000,4.597455
14,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,18000,3.673163
15,0xf19787f048b3401546aa7a979afa79d555c114dd,18000,3.566697
16,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,16000,3.664886
17,0xc3f617c8a3da6d286c8f97af946a8f293632c852,15000,3.589905
18,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,14000,3.052125
19,0xbeef086b8807dc5e5a1740c5e3a7c4c366ea6ab5,13000,2.843615
20,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,5000,1.086034
21,0x29262772a1a99f180ac2e70093954cf4adf3cd85,4000,0.890866
22,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,3743,0.845404
23,0x18156ace9940645ebf3602e2b320a77131a70ad1,3000,0.703786
24,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,3000,0.658534
25,0x8c8063a449eb9f020449fec4d9f0bca845188929,3000,0.639737
26,0xef96ec76eeb36584fc4922e9fa268e0780170f33,3000,0.631962
27,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,3000,0.619922
28,0x6c072f7c8e54ff147817d0dd6fd08734ede6de1f,2000,0.770699
29,0x19ff35059452faa793dddf9894a1571c5d41003e,2000,0.740437
30,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,2000,0.650442
31,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,2000,0.533867
32,0x763adcf71cb195184088a26be01662119e303f5f,2000,0.487488
33,0x66352585bad83da857a020f739f1f7ca93209a1b,2000,0.471800
34,0x50cbeffdd5671c8cdce323e0553f1990678100fc,2000,0.460557
35,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,2000,0.442251
36,0xd4610403f0a93611ca76a5847743533268eff793,2000,0.414259
37,0x8323ba10155388825fba72f4c81dd6642d7321ef,2000,0.407300
38,0x5984bc5ca90388aac221147ca9da419a2a458a9f,1000,0.319292
39,0xa528c2462fa74eb1a2335424d69d721e4aed1367,1000,0.232920
40,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,1000,0.228512
41,0x46f4149cea5556bd013d4f031d3e3b65573fc002,1000,0.227098
42,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,1000,0.195133
43,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.192992
44,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.189876
45,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,1000,0.187751
46,0xab5d32ff95b58bd5e77de08738a391973ee88c81,1000,0.187128
47,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.183319
48,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1000,0.179923
49,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.133160
50,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.128186
