epoch,boundary_block,boundary_gauges,t1_gauges,boundary_opt_k,boundary_opt_expected_usd,boundary_opt_per_1k,t1_pred_k,t1_pred_expected_usd,t1_pred_per_1k,t1_realized_at_boundary_usd,t1_realized_at_boundary_per_1k,opportunity_gap_usd,opportunity_gap_pct
1758153600,35682137,31,31,4,233.560096,0.197385,4,233.560096,0.197385,233.560096,0.197385,0.000000,0.000000
1758758400,35984556,44,44,6,649.321616,0.548751,6,638.660131,0.539741,648.900137,0.548395,0.421479,0.064911
1759363200,36287864,55,55,15,447.899606,0.378526,17,439.279236,0.371241,447.405149,0.378108,0.494457,0.110395
1759968000,36589568,64,64,16,1799.679433,1.520935,16,1861.847749,1.573474,1799.115390,1.520458,0.564044,0.031341
1760572800,36891731,79,79,25,2177.604836,1.840325,23,2200.428226,1.859613,2171.585556,1.835238,6.019279,0.276417
1761177600,37194136,98,98,14,1186.545436,1.002766,25,1190.966493,1.006503,1185.898909,1.002220,0.646527,0.054488
1761782400,37496533,103,103,17,1417.483285,1.197935,17,1417.483285,1.197935,1417.483285,1.197935,0.000000,0.000000
1762387200,37798931,114,114,40,2965.569484,2.506245,37,3101.672189,2.621267,2943.005211,2.487176,22.564273,0.760875
1762992000,38101359,126,126,27,1445.096638,1.221272,27,1445.096638,1.221272,1445.096638,1.221272,0.000000,0.000000
1763596800,38403733,126,126,46,1282.459440,1.083825,46,1252.715551,1.058688,1275.013916,1.077532,7.445524,0.580566
1764201600,38706129,144,144,48,1325.468760,1.120173,48,1327.705234,1.122063,1325.208719,1.119953,0.260041,0.019619
1764806400,39008536,153,153,29,921.905588,0.779116,45,912.495014,0.771163,909.790940,0.768877,12.114648,1.314088
1765411200,39310928,159,159,46,1171.182935,0.989783,47,1151.473251,0.973126,1141.164046,0.964414,30.018890,2.563126
1766016000,39613332,231,231,45,1209.647674,1.022290,45,1217.406525,1.028848,1208.574163,1.021383,1.073512,0.088746
1766620800,39915730,185,185,45,953.194106,0.805558,43,958.375231,0.809937,934.989990,0.790173,18.204116,1.909802
1767225600,40218135,172,172,39,754.633452,0.637751,39,761.846771,0.643848,739.012253,0.624550,15.621200,2.070038
1767830400,40520533,186,186,38,1169.662583,0.988498,41,1177.863022,0.995429,1135.176776,0.959354,34.485807,2.948355
1768435200,40822934,168,168,36,1102.469009,0.931712,48,1148.725037,0.970804,1086.943622,0.918592,15.525387,1.408238
1769040000,41125334,173,173,24,955.012174,0.807094,48,983.555278,0.831217,945.285761,0.798874,9.726413,1.018460
1769644800,41427735,167,167,44,957.700163,0.809366,48,1017.848717,0.860198,926.775523,0.783231,30.924640,3.229052
1770249600,41730132,188,188,39,2496.531123,2.109854,39,2496.531123,2.109854,2496.531123,2.109854,0.000000,0.000000
1770854400,42032530,184,184,27,2100.211490,1.774919,43,2299.390193,1.943247,2079.775962,1.757648,20.435529,0.973022
1771459200,42334931,173,173,49,1408.763155,1.190566,46,1436.621213,1.214109,1365.696906,1.154170,43.066249,3.057026
1772064000,42637330,169,171,49,792.780591,0.669990,50,792.846705,0.670046,773.125762,0.653380,19.654829,2.479227
