symbol,address,decimals,cached_price,age_days,was_refresh_targeted,routing_1,routing_25,cg_price,geckoterminal,dexscreener,dexscreener_liq_usd,cached_vs_realisable,routing1_vs_realisable,recommended_price,recommended_source,note
MCADE,0xc48823ec67720a04a9dfd8c7d109b2c3d6622094,18,4.6e-05,20685.0,no,0.000937,0.0009289784185968,0.00092433,0.0009219545351,0.0009269,145971.25,0.0495,1.0086,0.00092433,coingecko,
SPX,0x50da645f148798f68ef2d7db7c1cb22a6819bb2c,8,0.324877,174.8,no,0.383907,0.38424579054399993,0.385198,0.3844546582,0.3814,619219.4,0.8455,0.9991,0.385198,coingecko,
RFL,0x6e2c81b6c2c0e02360f00a0da694e489acb0b05e,18,0.01803666,174.8,no,0.002788,0.001210774228972,0.0012017,0.001217657814,0.001242,10162.88,14.8968,2.3027,0.0012017,coingecko,
MIRA,0x7aafd31a321d3627b30a8e2171264b56852187fe,18,0.085254,174.8,no,0.047112,0.0391702627909428,0.04045667,0.04295901148,0.04297,74.15,2.1765,1.2027,0.04045667,coingecko,pool liquidity $74 — not realisably sellable
WAV3,0x8b12bf09b7c6d73735c6a824f1d74a8b5c1aa5ca,18,0.0001247,174.8,no,8.5e-05,2.8191147573200003e-05,2.573e-05,2.761900691e-05,,,4.4234,3.0151,2.573e-05,coingecko,
RIZE,0x9818b6c09f5ecc843060927e8587c427c7c93583,18,0.00647156,174.8,no,0.005826,0.0058021285499308,0.00588023,,0.005826,30339.47,1.1154,1.0041,0.00588023,coingecko,
?,0xd02f50e1017f493ffffa70c8fcf09e349e11d6c9,,10591.46,174.8,no,30.791727,45.60597944319999,,,,,232.2384,0.6752,45.60597944319999,router_quote_at_size,no web2 price anywhere
ZXBT,0xe99d2f7988c5f2d013a34e7484f079cab87f469f,18,1.7e-05,159.5,no,9e-06,1.18638264684e-05,1.241e-05,,1.194e-05,26328.53,1.4329,0.7586,1.241e-05,coingecko,
LUNA,0x55cd6469f597452b5a7536e2cd98fde4c1247ee4,18,0.006065,126.3,no,0.004912,0.0050276016123188,0.00503203,,0.005011,1566902.04,1.2063,0.977,0.00503203,coingecko,
KAITO,0x98d0baa52b2d063e780de12f615f963fe8537553,18,0.451401,126.3,no,0.348642,0.3488531249532,0.34923,,0.3506,14531.1,1.294,0.9994,0.34923,coingecko,
SKY,0xc77eb53473759913bf278e52861ef281829cbe4d,18,0.000227,112.4,no,0.000209,0.00017433214423039997,0.00017641,,0.0001732,51028.59,1.3021,1.1989,0.00017641,coingecko,
SPLASH,0x55eec20a94dd786652d2402cf9c7de12b68065ba,18,4e-06,112.1,no,4e-06,7.64352e-09,,,,,523.3191,523.3191,7.64352e-09,router_quote_at_size,no web2 price anywhere
GIZA,0x590830dfdf9a3f68afcdde2694773debdf267774,18,0.010468,105.3,no,0.000997,0.0008844349040576,0.00090088,,0.0008992,30247.18,11.8358,1.1273,0.00090088,coingecko,
AYB,0xb96cfc6f81f85c58a1eccdd9ec2ad940e2cb8453,18,1e-06,84.5,yes,,7.522941040320001e-08,6.329e-08,,,,13.2927,,7.522941040320001e-08,router_quote_at_size,
BAES,0xa9f6d9eca1f803854a13cecad0f21d43e007db07,18,1e-06,84.5,yes,,1.2627438384e-06,1.32e-06,,1.272e-06,36451.04,0.7919,,1.32e-06,coingecko,
i,0x1f015712aa2a48085ec93f87d643bb625b668b07,18,7e-06,70.4,no,,8.159367128842799e-07,8.18079e-07,8.121749722e-07,8.025e-07,43939.52,8.5791,,8.18079e-07,coingecko,
hwUSD,0xa2f8da4a55898b6c947fa392ef8d6bfd87a4ff77,6,48.345615,70.4,no,0.080215,0.0772227108,1.026,,,,626.0544,1.0387,0.0772227108,router_quote_at_size,CoinGecko price not realisable on Base
CLAWD,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,18,2.6e-05,70.4,no,1.8e-05,6.1565201403999995e-06,6.23e-06,,6.1e-06,208970.08,4.2232,2.9237,6.23e-06,coingecko,
USDT,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,6,0.997294,63.1,no,0.998064,0.9980443358843599,0.999269,,1.00058,208408.93,0.9992,1.0,0.999269,coingecko,
LAOD,0xc3679395bddfb080fed2e26a54ab224dc582c99a,18,0.000344,49.6,yes,0.000187,1.7527488e-07,,1.21198838e-06,1.209e-06,1.47,1962.6315,1066.8956,1.7527488e-07,router_quote_at_size,pool liquidity $1 — not realisably sellable
WOLF,0x77ca224436b132cd83581826669025ed9cfd9b94,18,2e-06,49.1,yes,5e-06,6.483710959999999e-06,,,6.478e-06,38639.4,0.3085,0.7712,6.483710959999999e-06,router_quote_at_size,
ETHFI,0x6c240dda6b5c336df09a4d011139beaaa1ea2aa2,18,0.437505,35.1,no,0.564698,0.5646409564743999,0.566618,,0.5675,138983.41,0.7748,1.0001,0.566618,coingecko,
DONUT,0xae4a37d554c6d6f3e398546d8566b25052e0169c,18,0.004971,35.1,no,0.005693,0.005706819693052799,0.00572383,,0.005732,154885.47,0.8711,0.9976,0.00572383,coingecko,
latenightonbase,0x8c32bcfc720fec35443748a96030ce866d0665ff,18,3e-06,28.1,yes,2.1e-05,8.9858106864e-06,9.18e-06,,9.146e-06,4337.81,0.3339,2.337,9.18e-06,coingecko,
KING,0xe22c243c7559c667a1eb94b593369d192c5fbac0,18,166.231371,21.1,no,184.265042,204.64390271200003,205.55,208.8464552317,207.14,2579.72,0.8123,0.9004,205.55,coingecko,
STAR,0x3b92844c5abd9f0562c71ebf219628f1676a856d,18,7e-05,14.1,no,0.000183,0.00015530505051600002,0.00015741,,,,0.4507,1.1783,0.00015741,coingecko,
GAME,0x1c4cca7c5db003824208adda61bd749e55f463a3,18,0.00394572,14.1,no,0.004792,0.0041675874218688,0.00421464,,0.004239,1938515.71,0.9468,1.1498,0.00421464,coingecko,
HBET,0xc478ea5d6340ef8ef04088c3a649ddeac764b545,18,0.0001039,14.1,no,0.000191,0.0001108176851208,0.00010906,,,,0.9376,1.7236,0.00010906,coingecko,
IDRX,0x18bc5bcc660cf2b9ce3cd51a404afe1a0cbd3c22,2,5.604e-05,6.8,no,5.9e-05,5.6095444435599994e-05,5.617e-05,5.60388632e-05,,,0.999,1.0518,5.617e-05,coingecko,
GHO,0x6bb7a212910682dcfdbd5bcbb3e28fb4e8da10ee,18,0.99656,6.8,yes,0.997895,0.99796871694084,0.998709,0.9958291008,0.9985,29561.44,0.9986,0.9999,0.998709,coingecko,
PROV,0x78b9ce06f0e20d89c78ced2ae739bb45dd5794ab,18,5.171e-05,6.8,no,5.3e-05,5.392988997000001e-05,5.115e-05,5.282253231e-05,,,0.9588,0.9828,5.115e-05,coingecko,
CLAWNCH,0xa1f72459dfa10bad200ac160ecd78c6b77a747be,18,1.74e-06,6.8,no,4.9e-05,2.416461068e-06,2.45e-06,2.386279237e-06,2.41e-06,123725.56,0.7201,20.2776,2.45e-06,coingecko,
ZEN,0xf43eb8de897fbc7f2502483b2bef7bb9ea179229,18,4.058816,6.8,no,4.264907,4.2652109388,4.27,4.2654476983,4.28,1932651.0,0.9516,0.9999,4.27,coingecko,
